time,emis_ALD2,emis_ALDX,emis_CH4,emis_CL2,emis_CO,emis_ETH,emis_ETHA,emis_ETOH,emis_FORM,emis_HONO,emis_IOLE,emis_ISOP,emis_MEOH,emis_NH3,emis_NO,emis_NO2,emis_OLE,emis_PAR,emis_SESQ,emis_SO2,emis_SULF,emis_TERP,emis_TOL,emis_XYL
0,0.009782475,0.003378729,0.020594137,0.000272824,0.37623799,0.023582038,0.007752421,0.023938367,0.019756878,0.000450755,0.021942778,1.45E-05,0.002004891,0.041319199,0.068131328,0.00608949,0.025636181,0.24303871,0.003029566,0.001919644,1.89E-05,0.045247756,0.00192445,0.001446171
3600,0.009269881,0.0032036,0.019553497,0.000272834,0.32818484,0.022291822,0.007261382,0.022668259,0.018739702,0.000411843,0.020815786,1.39E-05,0.001900662,0.037867632,0.063159242,0.005604534,0.02427806,0.22741607,0.002748217,0.001779459,1.74E-05,0.043026295,0.00172492,0.001283684
7200,0.008881351,0.003073562,0.018970681,0.000272834,0.30460587,0.02133316,0.00693836,0.021744553,0.017963199,0.00039342,0.019950897,1.35E-05,0.00185463,0.035278447,0.060696919,0.005375989,0.023270898,0.21735588,0.002538632,0.001714331,1.68E-05,0.041290648,0.001632145,0.001203938
10800,0.008591107,0.002977591,0.018979864,0.000272834,0.30461517,0.020663343,0.006783442,0.021096248,0.017369084,0.000394752,0.019283054,1.34E-05,0.001868521,0.034206063,0.060659263,0.0053617,0.022538668,0.21222222,0.002376886,0.001724916,1.68E-05,0.039900161,0.001632853,0.001209816
14400,0.00840356,0.002918046,0.019908005,0.000272834,0.34498599,0.02033582,0.006851513,0.02078783,0.016961612,0.000430036,0.018799039,1.35E-05,0.001985938,0.035258923,0.064797856,0.005742832,0.022105472,0.21442311,0.00225107,0.001861314,1.82E-05,0.03879549,0.001797843,0.001358705
18000,0.008343155,0.002901453,0.022410128,0.000272834,0.46381518,0.020544937,0.007251957,0.020866441,0.016797915,0.0005429,0.018501209,1.45E-05,0.002223165,0.039177805,0.078018345,0.007044623,0.022069845,0.2274044,0.002151683,0.002175239,2.11E-05,0.037914127,0.002234988,0.001740913
21600,0.008527562,0.002950619,0.02944573,0.000272834,0.7587198,0.022062209,0.00824565,0.021550326,0.017064305,0.00078599,0.018472647,1.71E-05,0.002596334,0.046137121,0.10642745,0.009708844,0.02294993,0.26199538,0.002071935,0.002704222,2.57E-05,0.037205171,0.003360614,0.002751546
25200,0.008872467,0.00305861,0.037166651,0.000272834,1.0607874,0.023958923,0.009545066,0.02283122,0.017616058,0.001037785,0.01880401,0.021962324,0.009088424,0.057192154,0.13623437,0.012554428,0.024532588,0.30827147,0.002053483,0.003383002,3.20E-05,0.037129797,0.004724654,0.003915238
28800,0.009908378,0.003417295,0.042040549,0.000272835,1.2450563,0.026664114,0.011078685,0.025921132,0.019626651,0.001144652,0.020871295,0.13182302,0.039924491,0.080533311,0.15080106,0.013865525,0.028943172,0.3704859,0.002435438,0.004075115,3.91E-05,0.040815506,0.006003666,0.004858927
32400,0.01153492,0.004000422,0.043332323,0.000272915,1.2782941,0.029842407,0.012566859,0.030337812,0.023141641,0.001148439,0.024265334,0.31593689,0.090160221,0.11650111,0.15452959,0.014207507,0.035369094,0.4373154,0.003246322,0.004801556,4.54E-05,0.047556099,0.006973036,0.005446536
