CFACTOR	P	t	THETA	t/3600	PBLH	TEMP	O1D	OH	HO2	O3	NO	NO2	eNOx	TUV_J(6,THETA)	emis_NO	emis_NO*molps_to_molpcm2ps/PBLH/100/CFACTOR*3600
2.41958786e+10	9.96000000e+04	0.00000000e+00	1.18296323e+02	0.00000000e+00	2.50000000e+02	2.88150000e+02	1.00000000e-32	1.00000000e-32	1.00000000e-32	3.00000000e+01	1.00000000e-01	9.00000000e-01	1.00000000e-32	0.00000000e+00	6.81313280e-02	1.69572869e-01
2.41958786e+10	9.96000000e+04	3.00504312e+02	1.18285265e+02	8.34734201e-02	2.50000000e+02	2.88150000e+02	3.25722794e-266	6.12187848e-07	6.98979375e-05	2.97456548e+01	6.19062527e-03	1.00315814e+00	1.53940894e-02	0.00000000e+00	6.77162910e-02	1.68539878e-01
2.41958786e+10	9.96000000e+04	6.03801624e+02	1.18251692e+02	1.67722673e-01	2.50000000e+02	2.88150000e+02	-4.51935175e-218	1.35458331e-06	3.09746833e-04	2.95824502e+01	3.57157335e-03	1.01388592e+00	3.06937001e-02	0.00000000e+00	6.72973964e-02	1.67497287e-01
2.41958786e+10	9.96000000e+04	9.09795791e+02	1.18195041e+02	2.52721053e-01	2.50000000e+02	2.88150000e+02	-3.26201952e-136	2.22734015e-06	6.80738269e-04	2.94227346e+01	3.29464375e-03	1.02333211e+00	4.58979540e-02	0.00000000e+00	6.68747772e-02	1.66445425e-01
2.41958786e+10	9.96000000e+04	1.21537544e+03	1.18115696e+02	3.37604289e-01	2.50000000e+02	2.88150000e+02	2.49751777e-145	3.02894486e-06	1.06793635e-03	2.92642615e+01	3.10448541e-03	1.03339410e+00	6.10060032e-02	0.00000000e+00	6.64527304e-02	1.65394987e-01
2.41958786e+10	9.96000000e+04	1.52414608e+03	1.18012503e+02	4.23373911e-01	2.50000000e+02	2.88150000e+02	3.20015829e-145	3.65092013e-06	1.38064970e-03	2.91068688e+01	2.95587022e-03	1.04368011e+00	7.60179781e-02	0.00000000e+00	6.60262765e-02	1.64333581e-01
2.41958786e+10	9.96000000e+04	1.80979864e+03	1.17896531e+02	5.02721846e-01	2.50000000e+02	2.88150000e+02	0.00000000e+00	4.08317014e-06	1.59034812e-03	2.89504644e+01	2.84297003e-03	1.05394188e+00	9.09328753e-02	0.00000000e+00	6.56317517e-02	1.63351644e-01
2.41958786e+10	9.96000000e+04	2.11951249e+03	1.17748658e+02	5.88753470e-01	2.50000000e+02	2.88150000e+02	0.00000000e+00	4.36961634e-06	1.71274755e-03	2.87949770e+01	2.75905050e-03	1.06405468e+00	1.05757963e-01	0.00000000e+00	6.52039951e-02	1.62286995e-01
2.41958786e+10	9.96000000e+04	2.40457145e+03	1.17592348e+02	6.67936515e-01	2.50000000e+02	2.88150000e+02	0.00000000e+00	4.56128235e-06	1.77742576e-03	2.86403605e+01	2.69319315e-03	1.07394892e+00	1.20485677e-01	0.00000000e+00	6.48102902e-02	1.61307098e-01
2.41958786e+10	9.96000000e+04	2.71561593e+03	1.17399866e+02	7.54337760e-01	2.50000000e+02	2.88150000e+02	0.00000000e+00	4.69841776e-06	1.81005223e-03	2.84865767e+01	2.64192715e-03	1.08360488e+00	1.35123768e-01	0.00000000e+00	6.43806958e-02	1.60237876e-01
2.41958786e+10	9.96000000e+04	3.00759248e+03	1.17198555e+02	8.35442356e-01	2.50000000e+02	2.88150000e+02	0.00000000e+00	4.80452823e-06	1.82751925e-03	2.83336024e+01	2.59814284e-03	1.09301435e+00	1.49664067e-01	0.00000000e+00	6.39774368e-02	1.59234200e-01
2.41958786e+10	9.96000000e+04	3.32072882e+03	1.16960681e+02	9.22424673e-01	2.50000000e+02	2.88150000e+02	0.00000000e+00	4.89338711e-06	1.83919552e-03	2.81814165e+01	2.56163161e-03	1.10218943e+00	1.64112568e-01	0.00000000e+00	6.35449532e-02	1.58157786e-01
